#--------------------------------------------------------------------------     
#  Process Instruments Parts List:  INPARTS.DAT                                 
#--------------------------------------------------------------------------     
#  History:                                                                     
#                                                                               
#  Created 27 October 1998 at ICARUS Corp. by B. Ye                             
#  Updated 10 July    1998 by B. Ye : Add rotameter to piping block             
#  Updated 15 January 1999 by B. Ye : Add Currency Conversion Info.             
#  Updated 19 January 1999 by B. Ye : Users may add their items for ID 5000     
#                                     through 5999.                             
#  Updated 26 October 1999 by B. Ye : Change Currency Conversion Info.          
#  Updated 10 October 2007 by PD    : Add SAR Currency for ME country base      
#  [add your changes here]                                                      
#                                                                               
#..........................................................................     
#  Purpose:                                                                     
#                                                                               
#  To provide user-editable format for reading instrument hookup parts          
#  from this database and making instrument assembly in INASMBLY.DAT            
#                                                                               
#..........................................................................     
#                                                                               
#  Explanation of Fields:                                                       
#                                                                               
#  ID:   Instrument parts 4 digit ID number                                     
#  COA:  Code of Account - a valid ICARUS instrumentation code of account.      
#        If a customized COA set is being used in the project, items            
#        will be subsequently allocated to the appropriate user COA.            
#  QT:   Quantity, MUST Be set to 1                                             
#  UT:   Unit of Measure (EA for each, FT for feet, M for meter)                
#  DIA:  Size (I/P is imperial unit, MET is metric unit)                        
#  DESCRIPTION:  Description of hookup parts - maximum of 12 characters         
#  MATL: Material - Must be a valid ICARUS material code                        
#        The following material codes have been prepared by ICARUS              
#        for the instrumentation hookups. If you want to add others besides     
#        those prepared, please contact ICARUS                                  
#        {CS,CI,SS,TI,AL,NI,INCNL,MONEL,CU,BRASS,BRONZ,TFELS,GALV,              
#        PVC,ARMOR,FIBER,COAX}.                                                 
#  BCOST:The unit material cost in user's currency for the base YEAR (see       
#        see below). Default is U.S. Dollars (USD).                             
#        This will be converted to the currency for the base country in your    
#        project using the currency conversion information table in this file   
#        (see the CURRENCY CONVERSION section, below).  After escalation to the 
#        year of your system, then to the User's Base Year (see YEAR, below),   
#        this is finally converted to the project currency units using the      
#        conversion rate in the project.                                        
#  MH:   Total crew installation man-hours per unit of measure                  
#  PIPNG:Piping - These items are priced and installed by piping                
#  CREW: Select an installation crew type from this list.  The final            
#        installation labor cost will be calculated from the total              
#        installation man-hours multiplied by the composite crew wage rate.     
#        If you entered wage rates in the project, then they (de-escalated      
#        from UBI to SBI) are used to calculate the labor cost; if you did      
#        not enter rates, then the default rates for the current                
#        system (SBI) are used.                                                 
#             ITWR - Thermowells and Regulators                                 
#             IPIP - Instrument Pipe                                            
#             IPVF - Instrument Fittings and Valves                             
#             ITBC - Instrument Tubing and Connectors                           
#             IELC - Instrument Electrical Conduit                              
#             IEWF - Instrument Wire and Conduit Fittings                       
#  YEAR: Year basis for pricing.  Your BCOSTs are "starting" costs.  The        
#        final, reported cost is derived by escalating this cost to the         
#        base cost for the system version running the estimate (SBI).  This     
#        is done using indices for instrumentation generated by ICARUS each     
#        year.  These costs are then further escalated using the User Base      
#        Indices (UBI) and Escalation Indices (EI) as usual.  Although the      
#        system will automatically escalate these costs, you should             
#        evaluate them periodically, especially if you experience large         
#        cost fluctuations.                                                     
#                                                                               
#..........................................................................     
#  Rules of Syntax:                                                             
#                                                                               
#  1. Comment lines begin with a "#" - like this line.  If you use and/or       
#     customize this file, ICARUS strongly advises that you extensively         
#     comment your changes.                                                     
#  2. Format of file MUST NOT change (location, type & quantity of values)      
#  3. All characters MUST BE in UPPER CASE (except comments like this).         
#  4. Quantity Field MUST BE set to 1                                           
#  5. Year Field CANNOT exceed ICARUS pricing basis for the system version      
#     being used                                                                
#  6. DESCRIPTION Field for Items between 1000 and 1362 may not exceed 12       
#     characters- they will be truncated.                                       
#  7. You may add your own items for ID 1058 through 1099 and 5000 through      
#     5999.  To do this, delete the "#" (this will shift the line one           
#     character to the left), then add the required information.                
#  8. Do NOT CHANGE Items 0001-1000, they are reserved for ICARUS' use and      
#     are priced and installed by piping.                                       
#  9. You may not create your own piping items.                                 
#                                                                               
#...........................................................................    
#                                                                               
#                                                                               
#  Currency Conversion Information:                                             
#                                                                               
#  You must provide the currency conversion information before you continue     
#  to Data Section.  You must use only a single currency in this file.          
#  This currency is independent of that used in projects.  You must define the  
#  conversion rates for all three country locations.  You should enter          
#  "parity rates" not financial exchange rates.  The parity rate is the         
#  relative cost of the same items in the different countries in the local      
#  currency.  If you do not know this, then enter the currently-valid           
#  financial exchange rate.                                                     
#                                                                               
#  The following table may help you do the conversion. We use currency          
#  U.S. USD as an example. If you use a currency other than USD,                
#  you need to replace USD by your currency within the Currency field           
#  and redo the conversions given below using the formulas:                     
#                                                                               
#  USD * CURCONUS = Your Currency                                               
#   PS * CURCONUK = Your Currency                                               
#   KY * CURCONJP = Your Currency                                               
#   EU * CURCONEU = Your Currency                                               
#  SAR * CURCONME = Your Currency                                               
#                                                                               
#                                                                               
#  |--------|-------|-------|-------|---------|---------|                       
#  |Currency|U.S.USD|U.K. PS|JAP. KY|E.U. EURO|M.E. SAR |                       
#  |--------|-------|-------|-------|---------|---------|                       
#  |USD     | 1.00  | 1.6000|8.3333 |0.901    |0.2667   |                       
#  |--------|-------|-------|-------|---------|---------|                       
#                                                                               
#                                                                               
#CURRENCY CONVERSION, enter a value between column 10 to 15                     
# ID     |                                                                      
#1234567890123456                                                               
|CURCONUS|1.0000|                                                               
#--------------------------------------------------------------------------     
#CURRENCY CONVERSION, enter a value between column 10 to 15                     
# ID     |                                                                      
#1234567890123456                                                               
|CURCONUK|1.6000|                                                               
#--------------------------------------------------------------------------     
#CURRENCY CONVERSION, enter a value between column 10 to 15                     
# ID     |                                                                      
#1234567890123456                                                               
|CURCONJP|8.3333|                                                               
#--------------------------------------------------------------------------     
#CURRENCY CONVERSION, enter a value between column 10 to 15                     
# ID     |                                                                      
#1234567890123456                                                               
|CURCONEU|0.901  |                                                              
#--------------------------------------------------------------------------     
#CURRENCY CONVERSION, enter a value between column 10 to 15                     
# ID     |                                                                      
#1234567890123456                                                               
|CURCONME|0.2667 |                                                              
#                                                                               
#...........................................................................    
#                                                                               
#  Data Section:                                                                
#                                                                               
#----|----|--|--|----|---|--------------------|-----|-------|-----|----|----|   
# ID |COA |QT|UT|DIA |DIA|  DESCRIPTION       |MATL | BCOST | MH  |CREW|YEAR|   
#    |    |  |  |I/P |MET|                    |     | USD   |     |    |    |   
#----|----|--|--|----|---|--------------------|-----|-------|-----|----|----|   
#                                                                               
#  Begin no changes (do not change anything for parts 0001-1000)                
#                                                                               
|0001|    | 1|EA|0.75| 20|CONTROL VALVE       |PIPNG|       |     |    |    |   
|0003|    | 1|EA|0.75| 20|CUTS                |PIPNG|       |     |    |    |   
|0004|    | 1|EA|0.75| 20|GATE VALVE          |PIPNG|       |     |    |    |   
|0005|    | 1|EA|0.75| 20|GLOBE VALVE         |PIPNG|       |     |    |    |   
|0006|    | 1|EA|0.75| 20|ELBOWS              |PIPNG|       |     |    |    |   
|0007|    | 1|EA|0.75| 20|TEE                 |PIPNG|       |     |    |    |   
|0008|    | 1|EA|0.75| 20|UNION               |PIPNG|       |     |    |    |   
|0009|    | 1|EA|0.75| 20|REDUCER             |PIPNG|       |     |    |    |   
|0010|    | 1|EA|0.75| 20|THREADOLET          |PIPNG|       |     |    |    |   
|0011|    | 1|EA|0.75| 20|ORIFICE FLANGE      |PIPNG|       |     |    |    |   
|0012|    | 1|EA|0.75| 20|FLANGES             |PIPNG|       |     |    |    |   
|0013|    | 1|EA|0.75| 20|LENGTH              |PIPNG|       |     |    |    |   
|0020|    | 1|EA|0.75| 20|ORIFICE PLATE       |PIPNG|       |     |    |    |   
|0021|    | 1|EA|0.75| 20|VORTEX METER        |PIPNG|       |     |    |    |   
|0022|    | 1|EA|0.75| 20|MAG METER           |PIPNG|       |     |    |    |   
|0023|    | 1|EA|0.75| 20|MASS FLOW METER     |PIPNG|       |     |    |    |   
|0033|    | 1|EA|0.75| 20|ROTAMETER           |PIPNG|       |     |    |    |   
|0034|    | 1|EA|0.75| 20|METERRUN            |PIPNG|       |     |    |    |   
#|1000|    |  |  |    |   |                    |     |       |     |    |    |  
#  End no changes (you may change any of the parts below)                       
#                                                                               
#  Remember that your DESCRIPTION must fit within the space indicated by the    
#  "X" at right---------->XXXXXXXXXXXX                                          
#                                                                               
|1011| 634| 1|EA|0.25|  6|MNPT TUB CN         |BRASS|   1.63|  .54|ITBC|2009|
|1012| 634| 1|FT|0.25|  6|TUBE                |CU   |   0.41|  .10|ITBC|2009|
|1013| 634| 1|EA|0.25|  6|TUBE UNION          |BRASS|   2.04|  .40|ITBC|2009|
|1014| 634| 1|EA|0.25|  6|BLKHD CONN          |BRASS|   5.86| 1.05|ITBC|2009|
|1015| 631| 1|EA|0.25|  6|BALL VALVE          |BRASS|   9.40|  .40|ITBC|2009|
|1016| 631| 1|EA|0.25|  6|SWAGE NIP.          |GALV |   4.42|  .35|ITBC|2009|
|1017| 631| 1|EA|0.25|  6|NIPPLE   XS         |GALV |   2.21|  .35|ITBC|2009|
#                                                                               
|1021| 632| 1|EA|0.50| 15|FNPT TUB CN         |SS   |  21.30|  .55|ITBC|2009|
|1022| 632| 1|EA|0.50| 15|MNPT TUB CN         |SS   |  14.40|  .55|ITBC|2009|
|1023| 632| 1|EA|0.50| 15|TUBE UNION          |SS   |  19.19|  .35|ITBC|2009|
|1024| 632| 1|FT|0.50| 15|TUBE                |SS   |   3.99|  .17|ITBC|2009|
|1025| 632| 1|EA|0.50| 15|BLEED VALVE         |SS   |  34.05|  .45|ITBC|2009|
#                                                                               
|1031| 631| 1|EA|0.75| 20|NIPPLE   XS         |GALV |   2.96|  .35|IPVF|2009|
|1032| 631| 1|EA|0.75| 20|GATE VALVE          |GALV |  31.00|  .45|IPVF|2009|
|1033| 631| 1|EA|0.75| 20|ELBOW               |GALV |   3.82|  .35|IPVF|2009|
|1034| 631| 1|FT|0.75| 20|PIPE                |GALV |   1.40|  .35|IPVF|2009|
|1035| 631| 1|EA|0.75| 20|SWG NIPPLE          |GALV |   6.21|  .35|IPVF|2009|
|1036| 632| 1|EA|0.75| 20|GATE VALVE          |SS   | 195.00|  .45|IPVF|2009|
|1037| 631| 1|EA|0.75| 20|TEE,REDUCER         |GALV |   7.94| 1.50|IPVF|2009|
#                                                                               
|1041| 632| 1|EA|.375| 10|VENT BLOCK          |SS   | 109.52|  .25|IPVF|2009|
|1042| 632| 1|EA|.375| 10|DB. VENT BLK        |SS   | 273.81|  .50|IPVF|2009|
